SCRIP NAME,Security Name,GROUP,FACE VALUE,INDUSTRY,SECTOR,Previous Close,Open,High,Low,VWAP,52 Wk High,52 Wk Low,Upper Price Band,Lower Price Band,2W Avg Qty`(Lakh),TTQ (Lakh),Turnover (Cr.),Mcap Full (Cr.),Mcap FF (Cr.),Face Value,EPS (TTM) ,CEPS (TTM),PE,PB,ROE,Turnover (Lakh)
PFOCUS,PRIME FOCUS LTD.,B ,1.00,Film Production- Distribution & Exhibition,Consumer Discretionary,70.55,74.05,76.0,70.95,73.45,102.75,48.55,79.05(10%),64.75(10%),,,,2153.67,172.29,10.0,8.85,10.94,8.13,1.36,16.75,3.17
ALLCARGO,ALLCARGO LOGISTICS LTD.,A ,2.00,Logistics Solution Provider,Services,297.4,303.3,307.45,296.9,300.91,412.0,175.0,359.80(20%),239.90(20%),0.32,0.26,,7367.18,2210.15,10.0,14.92,18.63,20.1,3.85,19.13,79.5
EASUNREYRL,EASUN REYROLLE LTD.,Z ,2.00,Other Electrical Equipment,Industrials,2.29,2.4,2.4,2.18,2.29,4.62,2.03,2.49(5%),2.27(5%),0.13,0.23,,7.33,4.69,10.0,-5.85,-4.4,-0.41,0.04,-10.93,0.52
GMRINFRA,GMR INFRASTRUCTURE LTD.,A ,1.00,Airport & Airport services,Services,34.8,34.55,35.0,34.5,34.79,46.84,26.02,38.05(10%),31.15(10%),3.99,2.56,,20884.37,8562.59,1.0,-0.57,-0.56,-60.8,2.01,-3.31,89.0
TECHM,TECH MAHINDRA LTD.,A ,5.00,Computers - Software & Consulting,Information Technology,1055.6,1063.0,1067.55,1050.8,1059.23,1837.75,944.1,"1,164.25(10%)",952.65(10%),2.07,0.55,5.79,102963.1,66926.01,1.0,49.45,56.57,21.4,3.98,18.6,
MAHINDCIE,Mahindra CIE Automotive Limited,A ,10.00,Auto Components & Equipments,Consumer Discretionary,265.2,262.35,273.85,262.2,267.37,311.65,164.0,325.95(20%),217.35(20%),0.72,0.25,,10299.18,2574.79,2.0,10.73,14.01,25.31,2.44,9.63,66.73
VOLTAMP,VOLTAMP TRANSFORMERS LTD.,B ,10.00,Heavy Electrical Equipment,Industrials,3453.65,3474.4,3483.25,3350.3,3408.73,3686.0,1325.0,"4,045.05(20%)","2,696.75(20%)",,,,3410.38,1705.19,2.0,131.3,139.15,25.67,3.62,14.1,62.82
ATLANTA,ATLANTA LTD.,B ,2.00,Civil Construction,Industrials,16.7,16.61,19.3,16.42,18.29,29.45,11.5,21.01(20%),14.01(20%),0.41,0.64,,142.71,52.8,2.0,-24.28,-24.1,-0.72,0.56,-77.81,11.66
DEEPENR,Deep Energy Resources Ltd,B ,10.00,Oil Exploration & Production,Energy,88.3,88.1,88.5,86.0,86.87,119.8,37.25,95.00(10%),77.80(10%),,,,276.48,88.47,10.0,0.01,0.03,8640,0.72,0.01,1.22
HOVS,HOV SERVICES LTD.,B ,10.00,IT Enabled Services,Information Technology,54.15,54.25,54.25,52.2,52.67,78.0,42.8,63.00(20%),42.00(20%),,,,66.12,33.06,5.0,-50.76,-50.27,-1.03,3.23,-312.15,1.98
ACE,ACTION CONSTRUCTION EQUIPMENT LTD.,A ,2.00,Construction Vehicles,Industrials,221.25,221.0,223.95,219.0,220.61,291.55,175.0,264.05(20%),176.05(20%),0.35,0.11,,2620.43,864.74,10.0,8.89,10.18,24.74,3.47,14.03,25.33
