SCRIP NAME,Security Name,GROUP,FACE VALUE,INDUSTRY,SECTOR,Previous Close,Open,High,Low,VWAP,52 Wk High,52 Wk Low,Upper Price Band,Lower Price Band,2W Avg Qty`(Lakh),TTQ (Lakh),Turnover (Cr.),Mcap Full (Cr.),Mcap FF (Cr.),Face Value,EPS (TTM) ,CEPS (TTM),PE,PB,ROE,Turnover (Lakh)
KELLTONTEC,Kellton Tech Solutions Ltd.,B ,5.00,Computers - Software & Consulting,Information Technology,74.05,75.6,75.6,73.05,73.97,134.95,39.25,87.95(20%),58.65(20%),0.4,0.17,,707.31,339.51,2,1.13,1.64,64.95,5.01,7.72,12.74
SURFI,SURYO FOODS & INDUSTRIES LTD.,XT,10.00,Packaged Foods,Fast Moving Consumer Goods,8.0,8.0,8.0,8.0,8,10.67,5.1,8.40(5%),7.60(5%),,,,3.17,1.52,10,-0.88,-0.28,-9.08,-0.85,9.38,0.06
INTEGFD,INTEGRATED PROTEINS LTD.,XT,10.00,Edible Oil,Fast Moving Consumer Goods,12.45,12.45,12.45,12.45,12.44,26.62,2.9,13.07(5%),11.83(5%),,,,4.58,2.47,10,0.12,0.2,107.8,1.6,1.49,0.01
MAHAANF,MAHAAN FOODS LTD.,X ,10.00,Packaged Foods,Fast Moving Consumer Goods,21.15,20.5,21.6,20.5,20.82,29.4,17.8,23.65(10%),19.35(10%),,,,7.53,3.46,10,0.44,0.6,48.87,0.41,0.84,0.98
RICOAUTO,RICO AUTO INDUSTRIES LTD.,B ,1.00,Auto Components & Equipments,Consumer Discretionary,47.75,48.0,49.65,47.65,48.77,55.75,31.2,58.20(20%),38.80(20%),0.99,1.34,,656.13,321.5,1,1.69,7.21,28.7,1.09,3.8,65.25
OMAXAUTO,OMAX AUTOS LTD.,B ,10.00,Auto Components & Equipments,Consumer Discretionary,53.05,54.55,54.95,52.35,53.71,67.0,39.35,63.90(20%),42.60(20%),,,,113.89,47.83,10,10.71,17.83,4.97,0.37,7.38,2.97
MUNJALSHOW,MUNJAL SHOWA LTD.,B ,2.00,Auto Components & Equipments,Consumer Discretionary,102.45,107.1,107.1,102.75,103.2,152.55,92.7,123.70(20%),82.50(20%),,,,412.35,144.32,10,3.04,6.15,33.94,0.65,1.91,1.34
JAMNAAUTO,JAMNA AUTO INDUSTRIES LTD.,A ,1.00,Auto Components & Equipments,Consumer Discretionary,120.95,121.0,123.55,119.85,121.42,135.55,78.2,146.50(20%),97.70(20%),1.34,1.51,1.84,4867.19,2384.92,5,3.66,4.58,33.38,7.12,21.35,
SUNCLAYLTD,SUNDARAM-CLAYTON LTD.,A ,5.00,Auto Components & Equipments,Consumer Discretionary,4690.15,4695.85,4746.25,4680.05,4699.98,5123.55,3307.0,"5,625.50(20%)","3,750.40(20%)",,,,9484.7,2371.18,2,397.28,447.04,11.8,3.27,27.71,15.93
JTEKTINDIA,Jtekt India Ltd,A ,1.00,Auto Components & Equipments,Consumer Discretionary,83.0,83.3,85.0,82.6,84,120.45,66.15,101.20(20%),67.50(20%),0.15,,,2061.42,474.13,1,1.36,4.05,62.23,3.4,5.46,7.86
MUNJALAU,MUNJAL AUTO INDUSTRIES LTD.,B ,2.00,Auto Components & Equipments,Consumer Discretionary,44.3,44.1,44.65,43.9,44.21,70.5,36.0,53.00(20%),35.40(20%),,,,442,106.08,2,2.08,4.18,21.24,1.31,6.19,1.59
JAYBARMARU,JAY BHARAT MARUTI LTD.,B ,5.00,Auto Components & Equipments,Consumer Discretionary,160.5,161.2,164.0,160.0,161.25,227.3,123.5,194.80(20%),129.90(20%),,,,702.98,281.19,2,6.34,23.78,25.59,1.49,5.8,7.03
RACLGEAR,RACL Geartech Ltd,X ,10.00,Auto Components & Equipments,Consumer Discretionary,557.7,556.0,571.0,540.0,551.7,754.0,419.9,655.35(20%),436.95(20%),,,,588.84,276.75,10,23.14,38.02,23.6,4.48,18.99,30.59
SAMKRG,SAMKRG PISTONS & RINGS LTD.-$,X ,10.00,Auto Components & Equipments,Consumer Discretionary,153.7,153.05,157.0,151.0,153.07,200.0,123.6,182.55(20%),121.75(20%),0.11,,,149.42,49.31,10,18.25,31.4,8.34,0.85,10.25,5.22
ECSTSTL,EAST COAST STEEL LTD.,P ,10.00,Iron & Steel Products,Industrials,55.45,52.7,52.7,52.7,52.7,62.6,52.7,55.30(5%),50.10(5%),,,,28.44,23.04,10,-0.59,-0.58,-88.6,1.53,-1.72,0.05
SICAL,SICAL LOGISTICS LTD.,T ,10.00,Logistics Solution Provider,Services,7.88,8.09,8.09,7.76,7.87,23.83,7.6,8.35(5%),7.57(5%),0.26,,,46.58,39.13,10,-41.62,-31.72,-0.19,-0.05,27.82,0.69
RATNAMANI,RATNAMANI METALS & TUBES LTD.-$,A ,2.00,Iron & Steel Products,Industrials,1779.2,1785.4,1804.8,1732.0,1766.86,1920.0,1237.29,"2,085.10(20%)","1,390.10(20%)",,,,12179.19,4384.51,10,46,57.44,37.78,5.42,14.35,36.64
VESUVIUS,VESUVIUS INDIA LTD.,A ,10.00,Refractories,Industrials,1170.55,1208.55,1210.7,1136.5,1174.06,1339.0,906.0,"1,391.85(20%)",927.95(20%),,,,2354.14,1035.82,1,37.22,50.93,31.16,2.63,8.43,10.09
ASAL,AUTOMOTIVE STAMPINGS & ASSEMBLIES LTD.,B ,10.00,Auto Components & Equipments,Consumer Discretionary,424.25,432.5,444.55,408.05,423.93,923.85,47.7,498.75(20%),332.55(20%),0.14,0.17,,659.4,164.85,10,38.99,46.21,10.66,-18.47,-173.19,73.68
ARCEEIN,ARCEE INDUSTRIES LTD.,X ,10.00,Plastic Products - Industrial,Industrials,9.65,9.45,10.6,9.45,10.58,12.05,6.0,11.66(10%),9.54(10%),,,,5.45,4.09,10,0.9,1.15,11.74,0.98,8.3,0.04
ABCINDQ,ABC INDIA LTD.-$,X ,10.00,Road Transport,Services,75.65,75.65,78.0,75.05,76.37,127.65,65.0,90.05(20%),60.05(20%),,,,40.66,15.45,10,5.05,7,14.87,1.09,7.31,0.25
BALTE,BALURGHAT TECHNOLOGIES LTD.,X ,10.00,Road Transport,Services,8.59,8.65,8.8,8.1,8.47,14.48,7.16,9.57(10%),7.83(10%),,,,15.83,10.45,10,0.55,0.77,15.95,0.88,5.51,0.07
COARO,COASTAL ROADWAYS LTD.,P ,10.00,Road Transport,Services,25.05,23.85,24.1,23.85,23.91,27.65,13.35,25.30(5%),22.90(5%),,,,9.99,2.5,10,2.99,6.9,8.06,0.75,9.25,0.22
SIBARAUT,SIBAR AUTO PARTS LTD.,X ,10.00,Auto Components & Equipments,Consumer Discretionary,8.04,8.04,9.4,8.04,8.68,16.3,6.8,11.14(20%),7.44(20%),0.15,0.36,,15.35,7.83,1,0.07,0.41,125.83,1.39,1.11,3.15
SHREYAS,SHREYAS SHIPPING & LOGISTICS LTD.,B ,10.00,Shipping,Services,320.85,323.75,330.2,322.4,326.66,448.0,204.0,390.95(20%),260.65(20%),,,,715.38,200.31,10,114.51,123.22,2.85,1.14,39.95,6.38
STARLOG,Starlog Enterprises Ltd,X ,10.00,Port & Port services,Services,12.52,13.14,13.14,13.14,13.14,15.74,8.21,13.79(5%),12.49(5%),,0.15,,15.72,5.5,10,-22.32,-14.97,-0.59,-0.34,57.78,1.94
SHVSUIT,SHIVA SUITINGS LTD.,P ,10.00,Trading & Distributors,Services,,11.6,11.6,11.6,11.6,11.6,11.6,12.18(5%),11.02(5%),,,,1.8,1.22,10,0.28,0.28,41.82,0.96,2.29,0.01
TITANIN,Titan Intech Ltd,X ,10.00,Other Textile Products,Consumer Discretionary,16.35,17.5,17.6,15.6,16.23,38.4,4.04,17.65(10%),14.45(10%),0.15,0.15,,3.97,3.89,10,3.74,6.09,4.29,3.55,82.66,2.46
EUROTEXIND,EUROTEX INDUSTRIES & EXPORTS LTD.,B ,10.00,Other Textile Products,Consumer Discretionary,11.42,11.79,11.79,11.0,11.69,14.45,9.36,12.27(5%),11.11(5%),,,,10.23,2.76,10,-13.37,-9.6,-0.87,-0.62,70.94,0.21
ICIL,INDO COUNT INDUSTRIES LTD.,A ,2.00,Other Textile Products,Consumer Discretionary,139.9,141.7,152.2,140.5,147.3,314.8,119.7,174.10(20%),116.10(20%),0.51,1.05,1.54,2864.27,1174.35,10,16.1,18.4,9.01,1.83,20.27,
MARALOVER,MARAL OVERSEAS LTD.,B ,10.00,Other Textile Products,Consumer Discretionary,68.1,68.8,68.95,67.0,67.93,138.0,60.05,81.10(20%),54.10(20%),,,,280.59,70.15,1,16.13,22.42,4.19,1.69,40.44,1.55
SOMATEX,SOMA TEXTILES & INDUSTRIES LTD.,B ,10.00,Other Textile Products,Consumer Discretionary,7.3,7.3,7.3,7.3,7.3,14.17,5.85,7.66(5%),6.94(5%),,,,24.11,8.68,10,-4.99,-4.72,-1.46,-0.28,19.21,0.1
SOURCEIND,SOURCE INDUSTRIES (INDIA) LTD.,XT,10.00,Other Textile Products,Consumer Discretionary,2.51,2.52,2.52,2.52,2.52,2.52,1.27,2.64(5%),2.40(5%),,,,2.87,2.5,10,-0.17,-0.17,-15.2,0.64,-4.19,0.07
ADVLIFE,ADVANCE LIFESTYLES LTD.,XT,10.00,Other Textile Products,Consumer Discretionary,52.3,52.3,52.3,52.3,52,61.95,20.05,54.90(5%),49.70(5%),,,,16.28,4.07,10,3.03,3.03,17.25,0.53,3.06,0.0
KAKTEX,KAKATIYA TEXTILES LTD.,XT,10.00,Other Textile Products,Consumer Discretionary,18.8,18.05,19.6,18.0,18.73,28.04,2.57,20.20(5%),18.30(5%),,,,11.19,5.48,5,-,8.81,-,-0.85,-34.47,1.5
OCTAVE,Perfect-Octave Media Projects Ltd,XT,10.00,TV Broadcasting & Software Production,Consumer Discretionary,1.89,1.89,1.89,1.8,1.8,3.86,1.3,1.89(5%),1.71(5%),0.13,,,6.25,6.25,10,0.09,0.09,20.21,0.79,3.9,0.15
TRIDENT,TRIDENT LTD.,A ,1.00,Other Textile Products,Consumer Discretionary,41.1,41.7,42.0,40.05,40.68,70.9,19.0,48.30(20%),32.20(20%),20.92,23.07,9.39,20511.22,5127.81,1,1.6,2.25,25.17,5.4,21.46,
HISARSP,HISAR SPINNING MILLS LTD.,P ,10.00,Other Textile Products,Consumer Discretionary,30.9,30.95,30.95,29.6,30.48,50.9,17.5,31.05(5%),28.15(5%),,,,11.06,5.53,10,11.05,12.65,2.68,0.65,24.41,0.09
ALOKTEXT,ALOK INDUSTRIES LTD.,T ,1.00,Other Textile Products,Consumer Discretionary,19.6,19.55,19.85,19.4,19.58,35.8,18.85,20.45(5%),18.55(5%),4.16,3.81,,9682.22,2420.55,1,-0.47,0.21,-41.34,-0.59,1.42,74.55
PASARI,PASARI SPINNING MILLS LTD.,XT,10.00,Other Textile Products,Consumer Discretionary,4.1,4.0,4.25,3.9,4.02,13.72,2.24,4.28(5%),3.88(5%),,,,4.9,2.3,10,0.25,0.3,16.56,-12.36,-74.4,0.28
SPENTEX,SPENTEX INDUSTRIES LTD.,Z ,10.00,Other Textile Products,Consumer Discretionary,1.6,1.67,1.68,1.52,1.64,4.86,1.07,1.70(5%),1.54(5%),0.29,0.37,,14.54,8.43,10,-4.03,-2.93,-0.4,-0.03,7.27,0.61
AMARJOTHI,AMARJOTHI SPINNING MILLS LTD.,X ,10.00,Other Textile Products,Consumer Discretionary,157.05,153.35,158.7,153.35,156.98,224.9,144.0,189.90(20%),126.60(20%),,,,106.82,42.73,10,24.85,38.87,6.37,0.64,10.11,3.38
OLYMPTX,OLYMPIA INDUSTRIES LTD.,X ,10.00,Internet & Catalogue Retail,Consumer Discretionary,43.85,42.2,43.0,41.85,42.15,62.0,22.25,44.00(5%),39.90(5%),,,,25.27,7.08,10,0.85,2.22,49.16,0.5,1.02,0.89
NAGREEKEXP,NAGREEKA EXPORTS LTD.-$,B ,5.00,Other Textile Products,Consumer Discretionary,35.25,35.65,35.9,34.65,35.08,74.15,28.9,38.20(10%),31.30(10%),,,,43.44,19.11,10,4.96,10.79,7.01,0.4,5.68,0.57
SUDTIND-B,SUDITI INDUSTRIES LTD.,X ,10.00,Other Textile Products,Consumer Discretionary,31.5,32.15,34.0,31.0,32.39,54.95,13.9,37.85(20%),25.25(20%),,,,55.38,16.61,1,-16.52,-15.75,-1.91,-25.04,1309.26,1.55
SBFL,Shree Bhavya Fabrics Ltd,X ,10.00,Other Textile Products,Consumer Discretionary,11.6,11.11,11.69,11.11,11.21,26.0,7.76,12.85(10%),10.53(10%),,,,11.11,5.89,10,0.52,1.56,22.44,0.38,1.68,0.02
GEMSPIN,GEM SPINNERS INDIA LTD.,P ,5.00,Other Textile Products,Consumer Discretionary,7.75,7.75,7.75,7.37,7.42,15.87,1.7,7.73(5%),7.01(5%),,,,45.23,12.21,10,-0.11,-0.08,-69.69,-147.4,213.49,0.11
EUREKAI,EUREKA INDUSTRIES LTD.,X ,10.00,Other Textile Products,Consumer Discretionary,2.81,2.95,2.95,2.95,2.95,2.95,2.44,3.09(5%),2.81(5%),,,,2.58,1.78,10,0.01,0.01,322.66,1.94,0.6,0.0
ADITYASP,ADITYA SPINNERS LTD.,XT,10.00,Other Textile Products,Consumer Discretionary,16.55,16.55,17.35,16.35,17.31,28.05,10.45,18.20(5%),16.50(5%),,,,29.05,9.88,10,2.03,3.24,8.54,0.99,11.64,0.73
PRIMEURB,PRIME URBAN DEVELOPMENT INDIA LTD.,X ,2.00,Residential- Commercial Projects,Consumer Discretionary,6.67,6.34,6.65,6.34,6.58,11.75,5.6,6.98(5%),6.32(5%),,,,17.72,5.14,10,-1.83,-1.74,-3.64,22.17,-600.99,0.01
DHANFAB,DHANLAXMI FABRICS LTD.,X ,10.00,Other Textile Products,Consumer Discretionary,56.75,59.0,62.4,58.0,61.33,187.0,21.25,68.60(10%),56.20(10%),0.16,0.32,,53.55,13.39,10,0.63,4.18,99.16,1.02,1.03,19.82
SLSTLQ,SRI LAKSHMI SARASWATHI TEXTILES (ARNI) LTD.-$,X ,10.00,Other Textile Products,Consumer Discretionary,50.2,46.55,52.5,46.55,46.65,79.5,11.3,62.40(20%),41.60(20%),,,,17.33,6.93,10,13.09,17.57,3.97,-2.23,-56.21,0.05
ZODIACLOTH,ZODIAC CLOTHING CO.LTD.,B ,10.00,Garments & Apparels,Consumer Discretionary,91.7,92.7,94.05,91.7,93.57,138.65,78.55,111.60(20%),74.40(20%),,,,230.26,69.08,1,-3.99,3.4,-23.31,1.03,-4.41,1.02
SRMCL,SRI RAMAKRISHNA MILLS (COIMBATORE) LTD.-$,X ,10.00,Other Textile Products,Consumer Discretionary,33.0,33.5,34.0,31.8,33.01,44.0,11.25,40.65(20%),27.15(20%),,,,24.13,8.69,10,3.23,3.63,10.5,2.07,19.75,2.21
SUPERSPIN,SUPER SPINNING MILLS LTD.,B ,1.00,Other Textile Products,Consumer Discretionary,9.5,9.05,9.93,9.05,9.3,20.2,8.35,10.15(10%),8.31(10%),0.11,0.16,,50.77,28.94,10,0.15,0.67,60.8,0.46,0.76,1.45
UNITEDTE,UNITED TEXTILES LTD.,XT,10.00,Other Textile Products,Consumer Discretionary,9.34,9.34,9.8,8.9,9.25,20.81,5.42,10.18(5%),9.22(5%),,,,2.91,2.01,10,-0.15,1.77,-66.14,0.28,-0.42,0.09
SILINV,SIL INVESTMENTS LTD.,B ,10.00,Investment Company,Financial Services,304.6,307.75,307.8,302.9,304.32,429.45,252.1,364.00(20%),242.70(20%),,,,321.43,112.5,10,27.47,27.97,11.04,0.17,1.56,1.68
SURYALAXMI,SURYALAKSHMI COTTON MILLS LTD.,B ,10.00,Other Textile Products,Consumer Discretionary,61.85,63.3,63.3,60.8,61.2,98.9,49.35,73.90(20%),49.30(20%),,,,115.84,45.18,10,0.29,10.02,209.48,0.46,0.22,0.43
SAMTEX,SAMTEX FASHIONS LTD.-$,X ,2.00,Garments & Apparels,Consumer Discretionary,2.82,2.87,2.9,2.77,2.84,10.04,0.82,3.09(10%),2.53(10%),0.46,0.48,,20.93,10.68,2,-0.1,-0.03,-27.8,23.42,-82.57,1.37
CITYMAN,CITYMAN LTD.,XT,10.00,Gems- Jewellery And Watches,Consumer Discretionary,3.96,4.15,4.15,3.93,4.01,10.2,3.42,4.18(5%),3.80(5%),,,,4.67,1.31,10,-0.25,-0.25,-16.1,-0.53,3.26,0.04
DHANROTO,DHANALAXMI ROTO SPINNERS LTD.,X ,10.00,Other Textile Products,Consumer Discretionary,78.35,81.5,81.5,73.65,76.57,141.0,61.7,90.65(20%),60.45(20%),,,,29.46,15.32,10,18.8,19.46,4.02,0.98,24.36,2.65
DAMOINDUS,DAMODAR INDUSTRIES LTD.-$,B ,5.00,Other Textile Products,Consumer Discretionary,49.45,48.6,50.75,48.6,50.12,78.75,36.5,60.20(20%),40.20(20%),,,,116.97,33.92,10,7.88,18,6.37,1.01,15.9,0.11
SANBLUE,SANBLUE CORPORATION LTD.,X ,10.00,Trading - Textile Products,Consumer Discretionary,30.4,31.05,31.05,31.05,31,39.9,20.45,32.60(5%),29.50(5%),,,,15.52,5.12,10,0.17,0.21,182.63,0.37,0.2,0.0
UNIROYAL,UNIROYAL INDUSTRIES LTD.,X ,10.00,Other Textile Products,Consumer Discretionary,16.0,16.0,16.0,14.75,15.71,20.3,9.75,17.10(10%),14.00(10%),,,,12.86,5.91,1,1.76,4.16,8.82,0.74,8.35,0.24
TATIAGLOB,TATIA GLOBAL VENNTURE LTD.,X ,1.00,Residential- Commercial Projects,Consumer Discretionary,1.61,1.67,1.67,1.54,1.59,6.0,1.22,1.65(5%),1.51(5%),1.33,1.19,,23.96,14.85,10,-,-,-570.38,1.08,-0.19,1.89
SUNILTX,SUNIL INDUSTRIES LTD.,P ,10.00,Trading & Distributors,Services,37.05,37.05,37.05,37.05,37.05,53.65,12.5,38.90(5%),35.20(5%),,,,15.56,6.38,10,6.44,10.92,5.75,0.39,6.82,0.07
SRINACHA,SRI NACHAMMAI COTTON MILLS LTD.-$,X ,10.00,Other Textile Products,Consumer Discretionary,53.0,52.4,56.0,50.4,51.26,71.0,35.15,64.80(20%),43.20(20%),,,,23.22,10.22,1,13.7,17.82,3.94,0.85,21.48,0.67
SAMBANDAM,SAMBANDAM SPINNING MILLS LTD.-$,X ,10.00,Other Textile Products,Consumer Discretionary,181.95,189.35,189.35,182.15,184.47,295.0,157.0,220.35(20%),146.95(20%),,,,78.32,37.59,2,34.04,65.33,5.4,0.68,12.59,1.48
KANDAGIRI,KANDAGIRI SPINNING MILLS LTD.-$,X ,10.00,Other Textile Products,Consumer Discretionary,18.0,18.1,18.1,18.1,18,27.85,12.8,19.00(5%),17.20(5%),,,,6.97,2.37,10,0.79,1.55,22.84,-1.12,-4.9,0.0
KITEX,KITEX GARMENTS LTD.,B ,1.00,Garments & Apparels,Consumer Discretionary,242.8,238.0,247.0,238.0,244.19,308.9,141.0,292.55(20%),195.05(20%),0.17,0.33,,1621.27,697.15,2,19.29,22.51,12.64,1.9,15.01,80.67
CRANEX,CRANEX LTD.,X ,10.00,Construction Vehicles,Industrials,20.0,18.7,22.05,18.7,21.53,29.05,11.02,24.65(20%),16.45(20%),,,,10.28,5.86,10,1.62,2.2,12.7,1.32,10.39,0.74
BATLIBOI,BATLIBOI LTD.-$,X ,5.00,Industrial Equipments,Industrials,37.95,39.5,39.5,37.55,38.36,53.25,23.5,46.35(20%),30.95(20%),,,,110.99,27.75,10,-2.31,-1.28,-16.71,1,-5.99,0.87
AUSTENG,AUSTIN ENGINEERING CO.LTD.,X ,10.00,Industrial Machinery,Industrials,75.5,75.5,77.85,75.0,76.64,83.6,48.0,91.55(20%),61.05(20%),,,,26.54,16.72,1,4.09,6.68,18.67,0.5,2.7,3.47
UNIDT,UNITED DRILLING TOOLS LTD.,B ,10.00,Industrial Equipments,Industrials,400.7,405.0,406.85,390.0,398.34,605.35,309.6,470.50(20%),313.70(20%),,,,796.09,199.02,10,24.8,26.13,15.81,3.32,21,10.55
FLUIDOM,FLUIDOMAT LTD.,X ,10.00,Industrial Equipments,Industrials,157.0,158.0,160.9,153.05,156.8,189.95,115.3,185.70(20%),123.80(20%),0.14,,,76.25,33.55,10,11.14,12.5,13.89,1.84,13.28,3.49
EMAINDIA,EMA INDIA LTD.,X ,10.00,Industrial Machinery,Industrials,17.5,17.5,17.5,17.5,17.5,31.2,10.2,18.35(5%),16.65(5%),,,,1.76,0.9,10,-4,-3.38,-4.38,-30.17,693.1,0.01
WINDMACHIN,WINDSOR MACHINES LTD.,B ,2.00,Industrial Machinery,Industrials,35.45,35.45,36.3,34.7,35.8,51.6,25.75,43.00(20%),28.70(20%),0.12,,,232.78,95.44,10,2.12,4.16,16.89,0.8,4.76,1.12
SHANTIGEAR,SHANTHI GEARS LTD.,B ,1.00,Industrial Equipments,Industrials,236.65,237.6,244.75,237.6,241.72,262.45,140.0,290.80(20%),193.90(20%),0.18,0.11,,1859.21,539.17,2,6.17,7.52,39.28,7.15,18.21,27.18
MIVENMACH,MIVEN MACHINE TOOLS LTD.,XT,10.00,Industrial Equipments,Industrials,11.8,11.8,11.8,11.8,11.8,13.78,4.34,12.39(5%),11.21(5%),,,,3.54,0.89,10,-4.82,-4.54,-2.45,-0.29,12.02,0.0
HONDAPOWER,Honda India Power Products Ltd,B ,10.00,Industrial Equipments,Industrials,1583.3,1598.25,1647.25,1586.5,1614.58,1818.6,1116.0,"1,921.80(20%)","1,281.20(20%)",,,,1623.92,535.89,5,73.48,91.74,21.8,2.42,11.13,21.2
HITECHGEAR,The Hi-Tech Gears Ltd,B ,10.00,Auto Components & Equipments,Consumer Discretionary,200.0,200.0,206.9,194.7,200.48,341.15,155.0,238.70(20%),159.20(20%),,,,373.39,164.29,10,20.52,36.7,9.69,1.07,11.03,4.04
ELGIEQUIP,ELGI EQUIPMENTS LTD.,A ,1.00,Compressors & Pumps,Industrials,422.2,424.0,430.8,417.0,425.52,445.6,191.6,511.70(20%),341.20(20%),0.65,0.44,1.87,13514.58,9189.92,2,5.97,7.14,71.37,13.73,19.24,
UVDRHOR,UNITED VAN DER HORST LTD.,X ,10.00,Heavy Electrical Equipment,Industrials,55.5,53.05,58.25,53.05,57.98,106.55,40.0,61.15(5%),55.35(5%),,,,32.56,8.47,2,3.37,5.15,17.28,1,5.79,1.1
KLBRENG-B,KILBURN ENGINEERING LTD.,X ,10.00,Industrial Machinery,Industrials,39.75,38.25,43.1,36.75,38.5,57.55,22.55,44.95(10%),36.85(10%),,0.22,,140.32,21.05,10,0.45,1.27,90.53,1.91,2.11,8.61
BIRLAPREC,BIRLA PRECISION TECHNOLOGIES LTD.,XT,2.00,Industrial Machinery,Industrials,31.9,32.85,32.85,31.5,32.02,73.15,9.9,33.65(5%),30.45(5%),0.31,0.29,,209.19,83.68,10,1.79,2.41,17.94,1.77,9.86,9.38
YUKEN,YUKEN INDIA LTD.-$,B ,10.00,Compressors & Pumps,Industrials,433.7,439.0,456.65,439.0,448.97,683.9,390.15,545.90(20%),364.00(20%),,,,545.94,256.59,2,10.73,15.76,42.4,2.72,6.41,0.35
TIMKEN,TIMKEN INDIA LTD.,A ,10.00,Bearings,Industrials,2992.65,3025.1,3025.1,2925.0,2949.5,3047.8,1480.2,"3,523.35(20%)","2,348.95(20%)",,,1.11,22085.35,6846.46,10,43.47,54.69,67.54,13.33,19.74,
VOITHPAPR,VOITH PAPER FABRICS INDIA LTD.-$,X ,10.00,Other Textile Products,Consumer Discretionary,1088.0,1050.1,1089.0,1036.0,1061.04,1369.9,911.6,"1,284.40(20%)",856.30(20%),,,,470.16,117.54,10,66.74,84.41,16.04,1.64,10.24,17.45
ARTSONEN,ARTSON ENGINEERING LTD.,X ,1.00,Industrial Machinery,Industrials,75.0,75.1,77.6,74.75,75.77,150.9,45.8,82.60(10%),67.60(10%),0.12,0.12,,277.27,69.32,10,-2.84,-2.52,-26.46,577.69,-2116.77,8.74
SOLIMAC,SOLITAIRE MACHINE TOOLS LTD.,X ,10.00,Industrial Machinery,Industrials,56.85,56.6,57.95,56.55,57.45,67.85,27.0,69.35(20%),46.25(20%),0.16,,,26.25,14.44,10,2.32,3.58,24.86,1.65,6.64,0.45
INDSILHYD,INDSIL HYDRO POWER AND MANGANESE LTD.-$,X ,10.00,Ferro & Silica Manganese,Commodities,60.55,59.4,61.85,59.4,60.78,118.0,20.95,66.35(10%),54.35(10%),0.3,0.25,,167.72,60.38,10,11.74,13.57,5.14,1.17,22.79,15.3
TMTIND-B1,TMT (INDIA) LTD.,XT,10.00,Industrial Machinery,Industrials,2.0,2.1,2.1,2.1,2.1,2.1,2.0,2.20(5%),2.00(5%),,,,1.04,0.53,10,-2.33,-2.32,-0.9,-0.26,28.83,0.01
ITL,ITL INDUSTRIES LTD.-$,X ,10.00,Industrial Machinery,Industrials,143.9,143.9,145.0,140.15,143.99,203.9,108.0,172.70(20%),115.20(20%),,,,46.13,23.52,5,17.92,21.94,8.03,0.86,10.65,12.48
FRONTSP,FRONTIER SPRINGS LTD.,X ,10.00,Auto Components & Equipments,Consumer Discretionary,301.2,303.0,313.45,295.0,300.83,395.0,242.0,363.10(20%),242.10(20%),,,,119.18,50.06,10,19.08,26.33,15.86,1.77,11.14,3.92
PRAJIND,PRAJ INDUSTRIES LTD.,A ,2.00,Engineering & Construction products,Industrials,389.05,390.0,393.15,381.05,385.65,448.25,289.05,460.20(20%),306.80(20%),0.69,0.84,3.25,7043.86,4719.39,1,9.99,11.12,38.39,7.77,20.24,
RASANDIK,RASANDIK ENGINEERING INDUSTRIES INDIA LTD.-$,X ,10.00,Auto Components & Equipments,Consumer Discretionary,87.9,83.55,88.95,83.5,84,197.0,69.15,92.30(10%),75.60(10%),,,,50.16,23.58,10,-4.53,9.49,-18.52,0.52,-2.83,0.76
YOGISUNG,YOGI SUNG-WON (INDIA) LTD.,X ,10.00,Other Financial Services,Financial Services,4.0,4.2,4.2,3.82,3.92,8.2,3.82,4.38(10%),3.60(10%),0.27,0.22,,6.72,3.9,10,-0.09,-0.09,-42.54,0.45,-1.05,0.85
HLEGLAS,HLE Glascoat Ltd,A ,10.00,Industrial Equipments,Industrials,3500.45,3596.85,3784.25,3550.75,3692.24,7549.0,2951.3,"4,433.60(20%)","2,955.80(20%)",,0.25,9.2,5044.41,1210.66,10,45.24,51.9,81.67,17.93,21.96,
GUJAPOLLO,GUJARAT APOLLO INDUSTRIES LTD.,B ,10.00,Engineering & Construction products,Industrials,212.85,205.0,205.0,199.3,202.09,250.0,186.2,243.10(20%),162.10(20%),,,,239.07,105.19,10,0.74,2.67,273.22,1.03,0.38,0.85
TANAA,TANEJA AEROSPACE & AVIATION LTD.-$,X ,5.00,Aerospace & Defense,Industrials,103.3,103.45,108.5,103.2,105.06,168.0,41.0,115.05(10%),94.15(10%),0.15,0.15,,260.78,127.78,10,2.19,3.49,47.68,2.4,5.03,15.99
CONART,CONART ENGINEERS LTD.-$,X ,10.00,Civil Construction,Industrials,35.5,35.5,36.0,35.5,35.9,55.7,30.15,43.20(20%),28.80(20%),,,,11.3,5.65,10,4.1,5.58,8.79,0.49,5.58,0.21
SHIVAGR,SHIVAGRICO IMPLEMENTS LTD.,XT,10.00,Industrial Machinery,Industrials,14.1,13.5,13.5,13.5,13.5,25.5,5.48,14.15(5%),12.85(5%),,,,6.77,2.57,10,1.53,4.52,8.8,0.95,10.78,0.0
MMFL,M.M.FORGINGS LTD.-$,B ,10.00,Castings & Forgings,Industrials,919.5,918.4,950.0,918.4,936.39,1057.2,646.0,"1,111.80(20%)",741.20(20%),,,,2236.65,984.12,2,46.3,71.2,20.01,3.87,19.35,49.27
